Date,Open,High,Low,Close,Volume
1/3/2023,89.830002,91.550003,89.019997,89.699997,20738500
1/4/2023,91.010002,91.239998,87.800003,88.709999,27046500
1/5/2023,88.07,88.209999,86.559998,86.769997,23136100
1/6/2023,87.360001,88.470001,85.57,88.160004,26612600
1/9/2023,89.195,90.830002,88.580002,88.800003,22996700
1/10/2023,86.720001,89.474998,86.699997,89.239998,22855600
1/11/2023,90.059998,92.449997,89.739998,92.260002,25998800
1/12/2023,92.400002,92.620003,90.57,91.910004,22754200
1/13/2023,91.528,92.980003,90.93,92.800003,18630700
1/17/2023,92.779999,92.970001,90.839996,92.160004,22935800
1/18/2023,92.940002,93.587997,91.400002,91.779999,19641600
1/19/2023,91.389999,94.400002,91.379997,93.910004,28707700
1/20/2023,95.949997,99.419998,95.910004,99.279999,53704800
1/23/2023,99.129997,101.400002,98.75,101.209999,31791800
1/24/2023,99.550003,101.089996,98.699997,99.209999,27391400
1/25/2023,97.199997,97.720001,95.262001,96.730003,31000900
1/26/2023,98.279999,99.209999,96.82,99.160004,24542100
1/27/2023,99.050003,101.580002,98.970001,100.709999,29020400
1/30/2023,98.745003,99.408997,97.519997,97.949997,24365100
1/31/2023,97.860001,99.910004,97.790001,99.870003,22306800
2/1/2023,99.739998,102.190002,98.419998,101.43,26392600
2/2/2023,106.790001,108.82,106.540001,108.800003,46622600
2/3/2023,103.510002,108.019997,103.300003,105.220001,36823400
2/6/2023,102.684998,104.699997,102.209999,103.470001,25573000
2/7/2023,103.629997,108.669998,103.547997,108.040001,33738800
2/8/2023,102.690002,103.580002,98.455002,100,73546000
2/9/2023,100.540001,100.610001,93.860001,95.459999,97798600
2/10/2023,95.739998,97.019997,94.529999,94.860001,49325300
2/13/2023,95.010002,95.349998,94.050003,95,43116600
2/14/2023,94.660004,95.175003,92.650002,94.949997,42513100
2/15/2023,94.739998,97.339996,94.360001,97.099998,36964500
2/16/2023,95.540001,97.879997,94.970001,95.779999,35642100
2/17/2023,95.07,95.75,93.449997,94.589996,31095100
2/21/2023,93.239998,93.415001,92,92.050003,28367200
2/22/2023,91.933998,92.360001,90.870003,91.800003,29891100
2/23/2023,92.129997,92.129997,90.010002,91.07,32423700
2/24/2023,89.629997,90.129997,88.860001,89.349998,31295600
2/27/2023,90.089996,90.449997,89.610001,90.099998,22724300
2/28/2023,89.540001,91.449997,89.519997,90.300003,30546900
3/1/2023,90.160004,91.199997,89.849998,90.510002,26323900
3/2/2023,89.860001,92.480003,89.769997,92.309998,23328600
3/3/2023,92.739998,94.110001,92.660004,94.019997,30242500
3/6/2023,94.360001,96.300003,94.300003,95.580002,28288200
3/7/2023,95.419998,96.089996,93.844002,94.169998,24101500
3/8/2023,94.404999,96.239998,94.404999,94.650002,25395200
3/9/2023,94.489998,95.919998,92.355003,92.660004,24438900
3/10/2023,92.5,93.18,90.800003,91.010002,32850100
3/13/2023,90.565002,93.080002,89.940002,91.660004,31508600
3/14/2023,93.07,94.830002,92.779999,94.25,32303900
3/15/2023,93.540001,97.25,93.040001,96.550003,38367300
3/16/2023,96.57,101.970001,95.870003,101.07,54499500
3/17/2023,100.839996,103.489998,100.75,102.459999,76140300
3/20/2023,101.059998,102.580002,100.790001,101.93,26033900
3/21/2023,101.980003,105.959999,101.860001,105.839996,33122800
3/22/2023,105.139999,107.510002,104.209999,104.220001,32336900
3/23/2023,105.889999,107.100998,105.410004,106.260002,31385800
3/24/2023,105.739998,106.160004,104.739998,106.059998,25236200
3/27/2023,105.32,105.400002,102.629997,103.059998,25393400
3/28/2023,103,103,100.279999,101.360001,24913500
3/29/2023,102.720001,102.82,101.029999,101.900002,26148300
3/30/2023,101.440002,101.610001,100.290001,101.32,25009800
3/31/2023,101.709999,104.190002,101.440002,104,28108000
4/3/2023,102.669998,104.949997,102.379997,104.910004,20719900
4/4/2023,104.839996,106.099998,104.599998,105.120003,20377200
4/5/2023,106.120003,106.540001,104.101997,104.949997,21864200
4/6/2023,105.769997,109.629997,104.815002,108.900002,34684200
4/10/2023,107.389999,107.970001,105.599998,106.949997,19741500
4/11/2023,106.919998,107.220001,105.279999,106.120003,18721300
4/12/2023,107.389999,107.586998,104.970001,105.220001,22761600
4/13/2023,106.470001,108.264999,106.440002,108.190002,21650700
4/14/2023,107.690002,109.580002,107.589996,109.459999,20758700
4/17/2023,105.43,106.709999,105.32,106.419998,29043400
4/18/2023,107,107.050003,104.779999,105.120003,17641400
4/19/2023,104.214996,105.724998,103.800003,105.019997,16732000
4/20/2023,104.650002,106.888,104.639999,105.900002,22515300
4/21/2023,106.089996,106.639999,105.485001,105.910004,22379000
4/24/2023,106.050003,107.32,105.360001,106.779999,21410900
4/25/2023,106.610001,107.440002,104.559998,104.610001,31408100
4/26/2023,105.559998,107.019997,103.269997,104.449997,37068200
4/27/2023,105.230003,109.150002,104.419998,108.370003,38235200
4/28/2023,107.800003,108.290001,106.040001,108.220001,23957900
5/1/2023,107.720001,108.68,107.5,107.709999,20926300
5/2/2023,107.660004,107.730003,104.5,105.980003,20343100
5/3/2023,106.220001,108.129997,105.620003,106.120003,17116300
5/4/2023,106.160004,106.300003,104.699997,105.209999,19780600
5/5/2023,105.32,106.440002,104.738998,106.214996,20705300
5/8/2023,105.794998,108.419998,105.790001,108.239998,17266000
5/9/2023,108.779999,110.595001,107.724998,107.940002,24782400
5/10/2023,108.550003,113.510002,108.480003,112.279999,47533500
5/11/2023,115.860001,118.440002,114.93,116.900002,57115100
5/12/2023,117,118.260002,116.550003,117.919998,31272500
5/15/2023,116.489998,118.794998,116.480003,116.959999,22107900
5/16/2023,116.830002,121.199997,116.830002,120.089996,32370100
5/17/2023,120.18,122.279999,119.459999,121.480003,26659600
5/18/2023,121.559998,123.900002,121.489998,123.519997,27014500
5/19/2023,124.199997,126.478996,122.720001,123.25,30251300
5/22/2023,123.510002,127.050003,123.449997,125.870003,29760200
5/23/2023,124.93,125.419998,123.050003,123.290001,24477900
5/24/2023,121.879997,122.75,120.75,121.639999,23087900
5/25/2023,125.209999,125.980003,122.900002,124.349998,33812700
5/26/2023,124.065002,126,123.290001,125.43,25154700
5/30/2023,126.290001,126.379997,122.889999,124.639999,27230700
5/31/2023,123.699997,124.900002,123.099998,123.370003,41548800
6/1/2023,123.5,125.040001,123.300003,124.370003,25017700
6/2/2023,124.489998,126.745003,124.349998,125.230003,19362400
6/5/2023,124.610001,127.989998,124.379997,126.629997,22672500
6/6/2023,126.599998,128.880005,125.970001,127.910004,19450100
6/7/2023,127.574997,129.550003,122.629997,122.940002,34179300
6/8/2023,122.584999,123.730003,122.010002,122.669998,24815000
6/9/2023,122.559998,124.285004,122.419998,122.870003,20304500
6/12/2023,123.394997,124.75,122.349998,124.349998,22255700
6/13/2023,125.650002,125.860001,123.845001,124.43,19287700
6/14/2023,123.800003,124.790001,122.160004,124.379997,24659600
6/15/2023,123.879997,126.160004,123.139999,125.790001,24517100
6/16/2023,126.699997,126.699997,123.790001,124.059998,56686800
6/20/2023,123.535004,125.175003,122.830002,123.849998,22698000
6/21/2023,123.235001,123.410004,120.860001,121.260002,22612000
6/22/2023,120.660004,123.934998,119.599998,123.870003,20781900
6/23/2023,122.040001,123.440002,121.860001,123.019997,29542900
6/26/2023,121.466003,122.720001,118.989998,119.089996,23185000
6/27/2023,117.839996,119.894997,116.910004,119.010002,27221700
6/28/2023,117.959999,121.269997,117.599998,121.080002,19753100
6/29/2023,120.089996,120.910004,119.209999,120.010002,18517500
6/30/2023,121.099998,122.029999,120.879997,120.970001,23865800
7/3/2023,120.32,121.019997,119.705002,120.559998,13888300
7/5/2023,120.059998,123.370003,120.059998,122.629997,17830300
7/6/2023,120.639999,121.150002,119.25,120.93,17732500
7/7/2023,120.889999,121.75,120.089996,120.139999,20982400
7/10/2023,119.07,119.07,116.639999,116.870003,32960100
7/11/2023,116.760002,118.224998,115.830002,117.709999,18286600
7/12/2023,119.300003,120.959999,119,119.620003,22059600
7/13/2023,121.540001,125.334999,121.059998,124.830002,31535900
7/14/2023,125.129997,127.089996,124.900002,125.699997,20482800
7/17/2023,126.059998,127.279999,124.5,125.059998,20675300
7/18/2023,124.904999,124.989998,123.300003,124.080002,21071200
7/19/2023,124.790001,125.470001,122.470001,122.779999,22313800
7/20/2023,122.120003,124.699997,118.684998,119.529999,27541700
7/21/2023,120.870003,121.300003,119.07,120.309998,56498100
7/24/2023,121.926003,123.349998,121.379997,121.879997,22276100
7/25/2023,121.879997,123.690002,121.529999,122.790001,31820800
7/26/2023,130.360001,131.369995,128.710007,129.660004,46216900
7/27/2023,131.800003,133.600006,129.179993,129.869995,35931600
7/28/2023,130.970001,134.070007,130.919998,133.009995,26971000
7/31/2023,133.009995,133.830002,132.130005,133.110001,18381900
8/1/2023,130.854996,132.919998,130.75,131.889999,22154300
8/2/2023,129.839996,130.419998,127.849998,128.639999,22705800
8/3/2023,128.369995,129.770004,127.775002,128.770004,15018100
8/4/2023,129.600006,131.929993,128.315002,128.539993,20509500
8/7/2023,129.509995,132.059998,129.429993,131.940002,17621000
8/8/2023,130.979996,131.940002,130.130005,131.839996,16836000
8/9/2023,132.190002,132.470001,129.505005,130.149994,17745200
